created_at,favorite_count,text,in_reply_to_screen_name,location,quote_count,reply_count,retweet_count,username
Fri Nov 03 07:10:54 +0000 2023,0,@owuuun_07 mjb keknya engga deh baru kemaren debat ttg penghapusan kewajiban kelulusan pke skripsi ,dptmxl_30,backrooms ,0,1,0,smutify
Thu Oct 26 06:04:31 +0000 2023,6,Nasyiah Talk Edisi ke-4 Pro Kontra Kebijakan Penghapusan Kewajiban Skripsi di Peguruan Tinggi Jumat 27 Oktober 2023 Pukul 19.00 WIB - selesai Narasumber : Risni Julaeni Yuhan Ketua Bidang Pendidikan dan Penelitian PPNA Live Instagram @ppnasyiah #skripsi #pendidikantinggi https://t.co/Ive9n0J8ti,,"Yogyakarta, Indonesia",0,0,2,ppnasyiah
Fri Sep 22 13:42:13 +0000 2023,1,Implikasi Penghapusan Kewajiban Skripsi Bagi Mahasiswa Program S1 https://t.co/y4Jki120Wk,,"Surakarta, Jawa Tengah",0,0,0,SukoWaspodo
Wed Sep 13 04:10:11 +0000 2023,0,Penghapusan kewajiban skripsi memang memberi kebebasan mahasiswa memilih tugas akhir sesuai bidang yang diminati. Meskipun begitu mahasiswa harus memahami tugas akhir lain pengganti skripsi. #ArtikelOpini #AdadiKompas https://t.co/906gG73Kwr,,"Palmerah, Jakarta",0,0,0,KompasData
Wed Sep 13 04:07:51 +0000 2023,0,Penghapusan kewajiban skripsi memang memberi kebebasan mahasiswa memilih tugas akhir sesuai bidang yang diminati. Meskipun begitu mahasiswa harus memahami tugas akhir lain pengganti skripsi. #Opini #AdadiKompas https://t.co/J3SFGJlYcs,,"Palmerah, Jakarta",0,0,0,hariankompas
Sat Sep 02 17:37:35 +0000 2023,4,UGM dan UNY sambut baik penghapusan kewajiban skripsi https://t.co/ME8KiSLav9,,NKRI,0,1,1,antaranews
Fri Sep 01 20:25:24 +0000 2023,0,Soal Penghapusan Kewajiban Skripsi Pengamat Ingatkan Perguruan Tinggi Soal Budaya Menulis https://t.co/qTKrZ0aIxt,,Bandar Lampung,0,0,0,radarlampung
Fri Sep 01 04:39:03 +0000 2023,1,Implikasi Penghapusan Kewajiban Skripsi Bagi Mahasiswa Program S1 https://t.co/y4Jki120Wk,,"Surakarta, Jawa Tengah",0,0,0,SukoWaspodo
Fri Sep 01 00:43:11 +0000 2023,0,Penghapusan kewajiban mengerjakan skripsi tesis atau disertasi sepatutnya disertai dengan terjaganya kualitas lulusan perguruan tinggi. #Dikbud #AdadiKompas https://t.co/003l21ZirJ,,"ÜT: 62.478419,21.330711",0,0,0,kompasmuda
Fri Sep 01 00:31:00 +0000 2023,1,Penghapusan kewajiban mengerjakan skripsi tesis atau disertasi sepatutnya disertai dengan terjaganya kualitas lulusan perguruan tinggi. #TajukRencana #AdadiKompas https://t.co/kbrOyRWNyU,,"Palmerah, Jakarta",0,0,0,KompasData
